Roary,Name,HG003ProkkaGene,HG003ProkkaTag,HG003ProkkaStart,HG003ProkkaStop,HG003NewTag,HG003NewStart,HG003NewStop,HG003Description,USA300ProkkaGene,USA300ProkkaTag,USA300ProkkaStart,USA300ProkkaStop,USA300NewTag,USA300NewStart,USA300NewStop,USA300OldTag,USA300OldStart,USA300OldStop,USA300Description,MW2ProkkaGene,MW2ProkkaTag,MW2ProkkaStart,MW2ProkkaStop,MW2NewTag,MW2NewStart,MW2NewStop,MW2OldTag,MW2OldStart,MW2OldStop,MW2Description,MSSA476ProkkaGene,MSSA476ProkkaTag,MSSA476ProkkaStart,MSSA476ProkkaStop,MSSA476NewTag,MSSA476NewStart,MSSA476NewStop,MSSA476OldTag,MSSA476OldStart,MSSA476OldStop,MSSA476Description,MRSA252ProkkaGene,MRSA252ProkkaTag,MRSA252ProkkaStart,MRSA252ProkkaStop,MRSA252NewTag,MRSA252NewStart,MRSA252NewStop,MRSA252OldTag,MRSA252OldStart,MRSA252OldStop,MRSA252Description
group_19,group_0040,,HG003_00214,264380,264784,SAOUHSC_00245,264380,264784,hypothetical protein,,USA300_00272,318865,319269,USA300HOU_RS01430,318865,319269,USA300HOU_0286,318865,319269,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3286,group_0041,,HG003_00216,266435,267427,SAOUHSC_00247,266435,267427,Penicillin acylase,,USA300_00274,320920,321912,USA300HOU_RS01440,320920,321912,USA300HOU_0288,320920,321912,Penicillin acylase,,MW2_00249,297580,298572,MW_RS01330,297580,298572,MW0251,297580,298572,Penicillin acylase,,A476_00246,296225,297217,SAS_RS01300,296225,297217,SAS0251,296225,297217,Penicillin acylase,,MRSA252_00265,316614,317606,SAR_RS01370,316614,317606,SAR0272,316614,317606,Penicillin acylase
group_3262,group_0042,,HG003_00219,269428,270348,SAOUHSC_00250,269428,270348,hypothetical protein,,USA300_00277,323913,324833,USA300HOU_RS01455,323913,324833,USA300HOU_0291,323913,324833,hypothetical protein,,MW2_00252,300573,301493,MW_RS01345,300573,301493,MW0254,300573,301493,hypothetical protein,,A476_00249,299218,300138,SAS_RS01315,299218,300138,SAS0254,299218,300138,hypothetical protein,,MRSA252_00268,319607,320527,SAR_RS01385,319607,320527,SAR0275,319607,320527,hypothetical protein
group_2839,group_0043,,HG003_00220,270345,271511,SAOUHSC_00251,270345,271511,hypothetical protein,,USA300_00278,324830,325996,USA300HOU_RS01460,324830,325996,USA300HOU_0292,324830,325996,hypothetical protein,,MW2_00253,301490,302656,MW_RS01350,301490,302656,MW0255,301490,302656,hypothetical protein,,A476_00250,300135,301301,SAS_RS01320,300135,301301,SAS0255,300135,301301,hypothetical protein,,MRSA252_00269,320524,321690,SAR_RS01390,320524,321690,SAR0276,320524,321690,hypothetical protein
group_2633,group_0044,,HG003_00221,271579,273102,SAOUHSC_00253,271579,273102,hypothetical protein,,USA300_00279,326064,327587,USA300HOU_RS01465,326064,327587,USA300HOU_0293,326064,327587,hypothetical protein,,MW2_00254,302724,304247,MW_RS01355,302724,304247,MW0256,302724,304247,hypothetical protein,,A476_00251,301369,302892,SAS_RS01325,301369,302892,SAS0256,301369,302892,hypothetical protein,,MRSA252_00270,321758,323281,SAR_RS01395,321758,323281,SAR0277,321758,323281,hypothetical protein
group_998,group_0045,,HG003_00222,273373,274026,SAOUHSC_00254,273373,274026,hypothetical protein,,USA300_00280,327858,328511,USA300HOU_RS01470,327858,328511,USA300HOU_0294,327858,328511,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_999,group_0046,,HG003_00223,274060,274647,SAOUHSC_00255,274060,274647,hypothetical protein,,USA300_00281,328545,329132,USA300HOU_RS01475,328545,329132,USA300HOU_0295,328545,329132,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_81,group_0047,,HG003_00237,290124,290807,SAOUHSC_00270,290124,290807,hypothetical protein,,USA300_00295,344609,345292,USA300HOU_RS01545,344609,345292,USA300HOU_0309,344609,345292,hypothetical protein,,MW2_00268,319917,320600,MW_RS01425,319917,320600,MW0270,319917,320600,hypothetical protein,,A476_00265,318562,319245,SAS_RS01395,318562,319245,SAS0270,318562,319245,hypothetical protein,,,,,,,,,,,
group_823,group_0048,,HG003_00238,290954,291565,SAOUHSC_00271,290954,291565,hypothetical protein,,USA300_00296,345439,346050,USA300HOU_RS01550,345439,346050,USA300HOU_0310,345439,346050,hypothetical protein,,MW2_00269,320747,321358,MW_RS01430,320747,321358,MW0271,320747,321358,hypothetical protein,,A476_00266,319392,320003,SAS_RS01400,319392,320003,SAS0271,319392,320003,hypothetical protein,,,,,,,,,,,
group_707,group_0049,,HG003_00239,291701,291919,SAOUHSC_00272,291701,291919,hypothetical protein,,USA300_00297,346186,346404,USA300HOU_RS01555,346186,346404,USA300HOU_0311,346186,346404,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,MRSA252_00285,339379,339597,SAR_RS01470,339379,339597,SAR0292,339379,339597,hypothetical protein
group_342,group_0050,,HG003_00245,295206,295580,SAOUHSC_00279,295206,295580,hypothetical protein,,USA300_00309,353190,353564,USA300HOU_RS01610,353190,353564,USA300HOU_0322,353187,353564,hypothetical protein,,MW2_00278,326247,326621,MW_RS01475,326247,326621,MW0280,326247,326621,hypothetical protein,,A476_00275,324892,325266,SAS_RS01445,324892,325266,SAS0280,324892,325266,hypothetical protein,,MRSA252_00291,342424,342750,SAR_RS01495,342360,342750,SAR0299,342424,342750,hypothetical protein
group_343,group_0051,,HG003_00246,295733,296131,SAOUHSC_00280,295733,296131,hypothetical protein,,USA300_00310,353717,354115,USA300HOU_RS01615,353717,354115,USA300HOU_0323,353717,354115,hypothetical protein,,MW2_00279,326771,327169,MW_RS01480,326771,327169,MW0281,326771,327169,hypothetical protein,,A476_00276,325416,325814,SAS_RS01450,325416,325814,SAS0281,325416,325814,hypothetical protein,,MRSA252_00292,342884,343282,SAR_RS01500,342884,343282,SAR0301,342884,343282,hypothetical protein
group_2718,group_0052,,HG003_00250,300438,301487,SAOUHSC_00285,300438,301487,putative ABC transporter permease,,USA300_00314,358422,359471,USA300HOU_RS01640,358422,359471,USA300HOU_0328,358422,359471,putative ABC transporter permease,,MW2_00283,331513,332562,MW_RS01505,331513,332562,MW0285,331513,332562,putative ABC transporter permease,,A476_00280,330158,331207,SAS_RS01475,330158,331207,SAS0285,330158,331207,putative ABC transporter permease,,MRSA252_00296,347637,348686,SAR_RS01525,347637,348686,SAR0305,347637,348686,putative ABC transporter permease
group_2522,group_0053,,HG003_00252,302385,303416,SAOUHSC_00290,302466,303416,hypothetical protein,,USA300_00316,360369,361400,USA300HOU_RS01650,360369,361400,USA300HOU_0330,360369,361400,hypothetical protein,,MW2_00285,333460,334491,MW_RS01515,333460,334491,MW0287,333460,334491,hypothetical protein,,A476_00282,332105,333136,SAS_RS01485,332186,333136,SAS0287,332105,333136,hypothetical protein,,MRSA252_00298,349584,350615,SAR_RS01535,349584,350615,SAR0307,349584,350615,hypothetical protein
group_345,group_0054,,HG003_00263,316640,317467,SAOUHSC_00301,316640,317467,hypothetical protein,,USA300_00327,374624,375451,USA300HOU_RS01705,374624,375451,USA300HOU_0341,374624,375451,hypothetical protein,,MW2_00296,347720,348547,MW_RS01570,347720,348547,MW0298,347720,348547,hypothetical protein,,A476_00293,346365,347192,SAS_RS01540,346365,347192,SAS0298,346365,347192,hypothetical protein,,MRSA252_00309,363839,364666,SAR_RS01590,363839,364666,SAR0318,363839,364666,hypothetical protein
group_346,group_0055,,HG003_00264,317540,318739,SAOUHSC_00302,317540,318739,putative oxidoreductase,,USA300_00328,375524,376723,USA300HOU_RS01710,375524,376723,USA300HOU_0342,375524,376723,putative oxidoreductase,,MW2_00297,348620,349819,MW_RS01575,348620,349819,MW0299,348620,349819,putative oxidoreductase,,A476_00294,347265,348464,SAS_RS01545,347265,348464,SAS0299,347265,348464,putative oxidoreductase,,MRSA252_00310,364724,365938,SAR_RS01595,364724,365938,SAR0319,364724,365938,putative oxidoreductase
group_3166,group_0056,,HG003_00267,320409,321209,SAOUHSC_00306,320409,321209,Protein-ADP-ribose hydrolase,,USA300_00331,378393,379193,USA300HOU_RS01730,378393,379193,USA300HOU_0346,378393,379193,Protein-ADP-ribose hydrolase,,MW2_00300,351489,352289,MW_RS01595,351489,352289,MW0302,351489,352289,Protein-ADP-ribose hydrolase,,A476_00297,350134,350934,SAS_RS01565,350134,350934,SAS0302,350134,350934,Protein-ADP-ribose hydrolase,,MRSA252_00313,367614,368414,SAR_RS01615,367614,368414,SAR0322,367614,368414,Protein-ADP-ribose hydrolase
group_347,group_0057,,HG003_00270,323458,324483,SAOUHSC_00309,323458,324483,UDP-glucose 4-epimerase,,USA300_00334,381442,382467,USA300HOU_RS01745,381442,382467,USA300HOU_0349,381442,382467,UDP-glucose 4-epimerase,,MW2_00303,354539,355564,MW_RS01610,354539,355564,MW0305,354539,355564,UDP-glucose 4-epimerase,,A476_00300,353184,354209,SAS_RS01580,353184,354209,SAS0305,353181,354209,UDP-glucose 4-epimerase,,MRSA252_00316,370664,371689,SAR_RS01630,370664,371689,SAR0325,370661,371689,UDP-glucose 4-epimerase
group_1894,group_0058,,HG003_00272,325937,326221,SAOUHSC_00311,325937,326221,hypothetical protein,,USA300_00336,383921,384205,USA300HOU_RS01755,383921,384205,USA300HOU_0351,383921,384214,hypothetical protein,,MW2_00305,357018,357302,MW_RS01620,357018,357302,MW0307,357018,357302,hypothetical protein,,A476_00302,355663,355947,SAS_RS01590,355663,355947,SAS0307,355663,355947,hypothetical protein,,MRSA252_00318,373144,373428,SAR_RS01640,373144,373428,SAR0327,373144,373428,hypothetical protein
group_140,group_0059,,HG003_00281,335027,335593,SAOUHSC_00320,335027,335593,NAD(P)H-dependent FAD/FMN reductase,,USA300_00345,393011,393577,USA300HOU_RS01800,393011,393577,USA300HOU_0360,393011,393577,NAD(P)H-dependent FAD/FMN reductase,,MW2_00314,366115,366681,MW_RS01665,366115,366681,MW0316,366115,366681,NAD(P)H-dependent FAD/FMN reductase,,A476_00311,364760,365326,SAS_RS01635,364760,365326,SAS0316,364760,365326,NAD(P)H-dependent FAD/FMN reductase,,MRSA252_00328,382454,382807,SAR_RS01685,382241,382807,SAR0336,382241,382807,NAD(P)H-dependent FAD/FMN reductase
group_3127,group_0060,,HG003_00282,335653,336648,SAOUHSC_00322,335653,336648,hypothetical protein,,USA300_00346,393637,394632,USA300HOU_RS01805,393637,394632,USA300HOU_0361,393637,394632,hypothetical protein,,MW2_00315,366741,367736,MW_RS01670,366741,367736,MW0317,366741,367736,hypothetical protein,,A476_00312,365386,366381,SAS_RS01640,365386,366381,SAS0317,365386,366381,hypothetical protein,,MRSA252_00329,382867,383862,SAR_RS01690,382867,383862,SAR0338,382867,383862,hypothetical protein
group_144,group_0061,,HG003_00289,342788,343177,SAOUHSC_00330,342788,343177,hypothetical protein,,USA300_00353,400826,401215,USA300HOU_RS01845,400826,401215,USA300HOU_0369,400826,401215,hypothetical protein,,MW2_00322,373759,374148,MW_RS01705,373759,374148,MW0324,373759,374148,hypothetical protein,,A476_00319,372404,372793,SAS_RS01675,372404,372793,SAS0324,372404,372793,hypothetical protein,,MRSA252_00336,390157,390546,SAR_RS01730,390157,390546,SAR0345,390157,390546,hypothetical protein
group_145,group_0062,,HG003_00290,343418,343621,SAOUHSC_00331,343418,343621,hypothetical protein,,USA300_00354,401456,401659,USA300HOU_RS01850,401456,401659,USA300HOU_0370,401456,401659,hypothetical protein,,MW2_00323,374388,374591,MW_RS01710,374388,374591,MW0325,374388,374591,hypothetical protein,,A476_00320,373033,373236,SAS_RS01680,373033,373236,SAS0325,373033,373236,hypothetical protein,,MRSA252_00337,390786,390989,SAR_RS01735,390786,390989,SAR0346,390786,390989,hypothetical protein
group_146,group_0063,,HG003_00291,343618,344331,SAOUHSC_00332,343618,344331,hypothetical protein,,USA300_00355,401656,402369,USA300HOU_RS01855,401656,402369,USA300HOU_0371,401656,402369,hypothetical protein,,MW2_00324,374588,375301,MW_RS01715,374588,375301,MW0326,374588,375301,hypothetical protein,,A476_00321,373233,373946,SAS_RS01685,373233,373946,SAS0326,373233,373946,hypothetical protein,,MRSA252_00338,390986,391699,SAR_RS01740,390986,391699,SAR0347,390986,391699,hypothetical protein
group_3267,group_0064,,HG003_00293,345198,345827,SAOUHSC_00334,345198,345827,hypothetical protein,,USA300_00357,403236,403865,USA300HOU_RS01865,403236,403865,USA300HOU_0373,403236,403865,hypothetical protein,,MW2_00326,376168,376797,MW_RS01725,376168,376797,MW0328,376168,376797,hypothetical protein,,A476_00323,374813,375442,SAS_RS01695,374813,375442,SAS0328,374813,375442,hypothetical protein,,MRSA252_00340,392566,393195,SAR_RS01750,392566,393195,SAR0349,392566,393195,hypothetical protein
group_3193,group_0065,,HG003_00294,346194,347327,SAOUHSC_00335,346194,347327,hypothetical protein,,USA300_00358,404232,405365,USA300HOU_RS01870,404232,405365,USA300HOU_0374,404232,405365,hypothetical protein,,MW2_00327,377187,378320,MW_RS01730,377187,378320,MW0329,377187,378320,hypothetical protein,,A476_00324,375832,376965,SAS_RS01700,375832,376965,SAS0329,375832,376965,hypothetical protein,,MRSA252_00341,393564,394697,SAR_RS01755,393564,394697,SAR0350,393564,394697,hypothetical protein
group_3046,group_0066,,HG003_00295,347866,349047,SAOUHSC_00336,347866,349047,putative acetyl-CoA acyltransferase,,USA300_00359,405904,407085,USA300HOU_RS01880,405904,407085,USA300HOU_0375,405904,407085,putative acetyl-CoA acyltransferase,,MW2_00328,378859,380040,MW_RS01740,378859,380040,MW0330,378859,380040,putative acetyl-CoA acyltransferase,,A476_00325,377504,378685,SAS_RS01710,377504,378685,SAS0330,377504,378685,putative acetyl-CoA acyltransferase,,MRSA252_00342,395237,396418,SAR_RS01765,395237,396418,SAR0351,395237,396418,putative acetyl-CoA acyltransferase
group_353,group_0067,,HG003_00303,358797,359000,SAOUHSC_00345,358797,359000,hypothetical protein,,USA300_00367,416835,417038,USA300HOU_RS01920,416835,417038,USA300HOU_0383,416835,417038,hypothetical protein,,MW2_00336,389790,389993,MW_RS01780,389790,389993,MW0338,389790,389993,hypothetical protein,,A476_00333,388435,388638,SAS_RS01750,388435,388638,SAS0338,388435,388638,hypothetical protein,,MRSA252_00350,406165,406368,SAR_RS01805,406165,406368,SAR0359,406165,406368,hypothetical protein
group_1869,group_0068,,HG003_00305,360195,360386,SAOUHSC_00347,360195,360386,hypothetical protein,,USA300_00369,418233,418424,USA300HOU_RS01930,418233,418424,USA300HOU_0385,418233,418424,hypothetical protein,,MW2_00338,391188,391379,MW_RS01790,391188,391379,MW0340,391188,391379,hypothetical protein,,A476_00335,389833,390024,SAS_RS01760,389833,390024,SAS0340,389833,390024,hypothetical protein,,MRSA252_00352,407563,407754,SAR_RS01815,407563,407754,SAR0361,407563,407754,hypothetical protein
group_831,group_0069,,HG003_00309,362010,362984,SAOUHSC_00351,362010,362948,hypothetical protein,,USA300_00373,420048,421022,USA300HOU_RS01950,420048,421022,USA300HOU_0390,420048,421022,hypothetical protein,,MW2_00342,393003,393977,MW_RS01810,393003,393977,MW0344,393003,393977,hypothetical protein,,A476_00339,391648,392622,SAS_RS01780,391648,392586,SAS0344,391648,392640,hypothetical protein,,,,,,,,,,,
group_148,group_0070,,HG003_00312,364874,365242,SAOUHSC_00355,364874,365242,hypothetical protein,,USA300_00376,422912,423280,USA300HOU_RS01970,422912,423280,USA300HOU_0394,422912,423280,hypothetical protein,,MW2_00344,395880,396281,MW_RS01825,395880,396281,MW0346,395880,396281,hypothetical protein,,A476_00341,394525,394926,SAS_RS01795,394525,394926,SAS0348,394525,394926,hypothetical protein,,MRSA252_00379,426413,426781,SAR_RS01960,426413,426781,SAR0389,426413,426781,hypothetical protein
group_3075,group_0071,,HG003_00313,365423,365995,SAOUHSC_00356,365423,365995,hypothetical protein,,USA300_00377,423461,424033,USA300HOU_RS01975,423461,424033,USA300HOU_0395,423461,424033,hypothetical protein,,MW2_00345,396429,397001,MW_RS01830,396429,397001,MW0347,396429,397001,hypothetical protein,,A476_00342,395074,395646,SAS_RS01800,395074,395646,SAS0349,395074,395646,hypothetical protein,,MRSA252_00380,426962,427534,SAR_RS01965,426962,427534,SAR0390,426962,427534,hypothetical protein
group_1856,group_0072,,HG003_00314,366133,366396,SAOUHSC_00357,366133,366396,hypothetical protein,,USA300_00378,424171,424434,USA300HOU_RS01980,424171,424434,USA300HOU_0396,424171,424434,hypothetical protein,,MW2_00346,397139,397402,MW_RS01835,397139,397402,MW0348,397139,397402,hypothetical protein,,A476_00343,395784,396047,SAS_RS01805,395784,396047,SAS0350,395784,396047,hypothetical protein,,MRSA252_00381,427672,427935,SAR_RS01970,427672,427935,SAR0391,427672,427935,hypothetical protein
group_355,group_0073,,HG003_00315,366696,366947,SAOUHSC_00358,366696,366947,hypothetical protein,,USA300_00379,424734,424985,USA300HOU_RS01985,424734,424985,USA300HOU_0397,424734,424985,hypothetical protein,,MW2_00347,397696,397947,MW_RS01840,397696,397947,MW0349,397696,397947,hypothetical protein,,A476_00344,396341,396592,SAS_RS01810,396341,396592,SAS0351,396341,396592,hypothetical protein,,MRSA252_00382,428229,428483,SAR_RS01975,428229,428483,SAR0392,428229,428483,hypothetical protein
group_149,group_0074,,HG003_00317,368020,368406,SAOUHSC_00360,368020,368403,hypothetical protein,,USA300_00381,426058,426444,USA300HOU_RS02000,426058,426441,USA300HOU_0400,426058,426441,hypothetical protein,,MW2_00349,399020,399406,MW_RS01855,399020,399403,MW0352,399020,399403,hypothetical protein,,A476_00346,397665,398051,SAS_RS01825,397665,398048,SAS0354,397665,398048,hypothetical protein,,MRSA252_00384,429556,429942,SAR_RS01990,429556,429939,SAR0395,429556,429939,hypothetical protein
group_2883,group_0075,,HG003_00318,368658,369284,SAOUHSC_00362,368658,369284,hypothetical protein,,USA300_00382,426696,427322,USA300HOU_RS02005,426696,427322,USA300HOU_0401,426696,427322,hypothetical protein,,MW2_00350,399658,400284,MW_RS01860,399658,400284,MW0354,399658,400284,hypothetical protein,,A476_00347,398303,398929,SAS_RS01830,398303,398929,SAS0355,398303,398929,hypothetical protein,,MRSA252_00385,430210,430836,SAR_RS01995,430210,430836,SAR0396,430210,430836,hypothetical protein
group_150,group_0076,,HG003_00319,369357,369614,SAOUHSC_00363,369357,369650,hypothetical protein,,USA300_00383,427395,427652,USA300HOU_RS02010,427395,427652,USA300HOU_0402,427395,427688,hypothetical protein,,MW2_00351,400357,401967,MW_RS01865,400357,401967,MW0355,400357,401967,hypothetical protein,,A476_00348,399002,400612,SAS_RS14390,399002,399280,SAS0356,399002,400612,hypothetical protein,,MRSA252_00386,430909,432528,SAR_RS02000,430909,432528,SAR0397,430909,432528,hypothetical protein
group_356,group_0077,,HG003_00324,375530,376486,SAOUHSC_00369,375530,376486,hypothetical protein,,USA300_00388,433568,434524,USA300HOU_RS02040,433568,434524,USA300HOU_0408,433568,434524,hypothetical protein,,MW2_00356,408080,409036,MW_RS01895,408080,409036,MW0361,408080,409036,hypothetical protein,,A476_00353,406725,407681,SAS_RS01865,406725,407681,SAS0361,406725,407681,hypothetical protein,,MRSA252_00391,438584,439540,SAR_RS02030,438584,439540,SAR0403,438584,439540,hypothetical protein
group_2587,group_0078,,HG003_00325,376604,377266,SAOUHSC_00370,376604,377266,hypothetical protein,,USA300_00389,434642,435304,USA300HOU_RS02045,434642,435304,USA300HOU_0409,434642,435304,hypothetical protein,,MW2_00357,409154,409816,MW_RS01900,409154,409816,MW0362,409154,409816,hypothetical protein,,A476_00354,407799,408461,SAS_RS01870,407799,408461,SAS0362,407799,408461,hypothetical protein,,MRSA252_00392,439658,440320,SAR_RS02035,439658,440320,SAR0404,439658,440320,hypothetical protein
group_357,group_0079,,HG003_00326,377409,377816,SAOUHSC_00371,377409,377816,hypothetical protein,,USA300_00390,435447,435854,USA300HOU_RS02050,435447,435854,USA300HOU_0410,435447,435854,hypothetical protein,,MW2_00358,409959,410366,MW_RS01905,409959,410366,MW0363,409959,410366,hypothetical protein,,A476_00355,408604,409011,SAS_RS01875,408604,409011,SAS0363,408604,409011,hypothetical protein,,MRSA252_00393,440463,440903,SAR_RS02040,440463,440870,SAR0405,440463,440870,hypothetical protein
group_1004,group_0080,,HG003_00331,383358,383894,SAOUHSC_00376,383358,383894,hypothetical protein,,USA300_00395,441396,441932,USA300HOU_RS02075,441396,441932,USA300HOU_0415,441396,441932,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,MRSA252_00398,446829,447365,SAR_RS02065,446829,447365,SAR0411,446829,447365,hypothetical protein
group_709,group_0081,,HG003_00332,384287,384991,SAOUHSC_00377,384287,384991,hypothetical protein,,USA300_00396,442325,443029,USA300HOU_RS02080,442325,443029,USA300HOU_0416,442325,443029,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,MRSA252_00399,448052,448462,SAR_RS02075,448052,448462,,,,hypothetical protein
group_1005,group_0082,,HG003_00333,385390,385662,SAOUHSC_00378,385390,385662,hypothetical protein,,USA300_00397,443428,443700,USA300HOU_RS02085,443428,443700,USA300HOU_0417,443428,443700,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_358,group_0083,,HG003_00335,386599,386958,SAOUHSC_00381,386599,386958,hypothetical protein,,USA300_00399,444637,444996,USA300HOU_RS02095,444637,444996,USA300HOU_0420,444637,444996,hypothetical protein,,MW2_00375,427534,427893,MW_RS02000,427534,427893,MW0380,427534,427893,hypothetical protein,,A476_00372,426195,426554,SAS_RS01970,426195,426554,SAS0382,426195,426554,hypothetical protein,,MRSA252_00401,450865,451224,SAR_RS02090,450865,451224,SAR0420,450865,451224,hypothetical protein
group_152,group_0084,,HG003_00334,385923,386075,SAOUHSC_00381a,385923,386075,hypothetical protein,,USA300_00398,443961,444113,USA300HOU_RS02090,443961,444113,USA300HOU_0419,443961,444113,hypothetical protein,,MW2_00371,424935,425087,MW_RS01980,424935,425087,MW0376,424935,425087,hypothetical protein,,A476_00368,423580,423732,SAS_RS01950,423580,423732,SAS0378,423580,423741,hypothetical protein,,MRSA252_00400,450191,450343,SAR_RS02085,450191,450343,SAR0418,450191,450352,hypothetical protein
group_359,group_0085,,HG003_00336,386977,387822,SAOUHSC_00382,386977,387822,hypothetical protein,,USA300_00400,445015,445860,USA300HOU_RS02100,445015,445860,USA300HOU_0421,445015,445860,hypothetical protein,,MW2_00376,427912,428757,MW_RS02005,427912,428757,MW0381,427912,428757,hypothetical protein,,A476_00373,426573,427418,SAS_RS01975,426573,427418,SAS0383,426573,427418,hypothetical protein,,MRSA252_00402,451243,452088,SAR_RS02095,451243,452088,SAR0421,451243,452088,hypothetical protein
group_1011,group_0086,,HG003_00350,403207,404715,SAOUHSC_00400,403207,404715,hypothetical protein,,USA300_00414,461233,462741,USA300HOU_RS02185,461233,462741,USA300HOU_0436,461233,462741,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_3287,group_0087,,HG003_00351,404819,405127,SAOUHSC_00401,404819,405127,hypothetical protein,,USA300_00415,462844,463152,USA300HOU_RS02190,462844,463152,USA300HOU_0437,462844,463152,hypothetical protein,,MW2_00391,445847,446155,MW_RS02095,445847,446155,MW0396,445847,446155,hypothetical protein,,A476_00388,444508,444816,SAS_RS02065,444508,444816,SAS0398,444508,444816,hypothetical protein,,MRSA252_00415,466838,467146,SAR_RS02170,466838,467146,SAR0437,466838,467146,hypothetical protein
group_155,group_0088,,HG003_00355,408072,409400,SAOUHSC_00406,408072,409400,hypothetical protein,,USA300_00426,472037,473365,USA300HOU_RS02245,472037,473365,USA300HOU_0448,472037,473365,hypothetical protein,,MW2_00397,450777,452102,MW_RS02125,450777,452102,MW0402,450777,452102,hypothetical protein,,A476_00394,449438,450763,SAS_RS02095,449438,450763,SAS0404,449438,450763,hypothetical protein,,MRSA252_00425,473456,474709,SAR_RS02210,473456,474709,SAR0446,473382,474709,hypothetical protein
group_1725,group_0089,,HG003_00356,409397,409720,SAOUHSC_00407,409397,409720,hypothetical protein,,USA300_00427,473362,473685,USA300HOU_RS02250,473362,473685,USA300HOU_0449,473362,473685,hypothetical protein,,MW2_00398,452099,452422,MW_RS02130,452099,452422,MW0403,452099,452422,hypothetical protein,,A476_00395,450760,451083,SAS_RS02100,450760,451083,SAS0405,450760,451083,hypothetical protein,,MRSA252_00426,474706,475029,SAR_RS02215,474706,475029,SAR0447,474706,475029,hypothetical protein
group_368,group_0090,,HG003_00357,409739,410053,SAOUHSC_00408,409739,410053,hypothetical protein,,USA300_00428,473704,474018,USA300HOU_RS02255,473704,474018,USA300HOU_0450,473704,474018,hypothetical protein,,MW2_00399,452441,452755,MW_RS02135,452441,452755,MW0404,452441,452755,hypothetical protein,,A476_00396,451102,451416,SAS_RS02105,451102,451416,SAS0406,451102,451416,hypothetical protein,,MRSA252_00427,475048,475362,SAR_RS02220,475048,475362,SAR0448,475048,475362,hypothetical protein
group_369,group_0091,,HG003_00358,410343,410537,SAOUHSC_00409,410343,410603,hypothetical protein,,USA300_00429,474308,474502,USA300HOU_RS02260,474308,474502,USA300HOU_0451,474308,474502,hypothetical protein,,MW2_00400,453039,453233,MW_RS02140,453039,453233,MW0405,453039,453233,hypothetical protein,,A476_00397,451700,451894,SAS_RS02110,451700,451960,SAS0407,451700,451894,hypothetical protein,,MRSA252_00428,475651,475845,SAR_RS02225,475651,475845,SAR0449,475651,475845,hypothetical protein
group_2161,group_0092,,HG003_00363,418921,419595,SAOUHSC_00416,418921,419595,hypothetical protein,,USA300_00434,482886,483560,USA300HOU_RS02295,482886,483560,USA300HOU_0461,482886,483560,hypothetical protein,,MW2_00405,461627,462301,MW_RS02175,461627,462301,MW0410,461627,462301,hypothetical protein,,A476_00402,460289,460963,SAS_RS02145,460289,460963,SAS0414,460289,460963,hypothetical protein,,MRSA252_00434,484227,484901,SAR_RS02260,484227,484901,SAR0456,484227,484901,hypothetical protein
HG003_00365,group_0093,,HG003_00365,420544,420657,SAOUHSC_00418,420544,420657,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2453,group_0094,,HG003_00366,420822,422159,SAOUHSC_00420,420822,422159,hypothetical protein,,USA300_00437,484787,486124,USA300HOU_RS02310,484787,486124,,,,hypothetical protein,,MW2_00407,463528,464865,MW_RS02190,463528,464865,MW0413,463525,464865,hypothetical protein,,A476_00404,462190,463527,SAS_RS02160,462190,463527,SAS0416,462187,463527,hypothetical protein,,MRSA252_00436,486129,487466,SAR_RS02275,486129,487466,SAR0458,486126,487466,hypothetical protein
group_2847,group_0095,,HG003_00373,428798,429067,SAOUHSC_00428,428798,429067,hypothetical protein,,USA300_00444,492763,493032,USA300HOU_RS02345,492763,493032,USA300HOU_0466,492763,493032,hypothetical protein,,MW2_00414,471507,471776,MW_RS02225,471507,471776,MW0420,471507,471776,hypothetical protein,,A476_00411,470169,470438,SAS_RS02195,470169,470438,SAS0423,470169,470438,hypothetical protein,,MRSA252_00443,494106,494375,SAR_RS02310,494106,494375,SAR0465,494106,494375,hypothetical protein
group_2242,group_0096,,HG003_00376,430255,431037,SAOUHSC_00431,430255,431037,hypothetical protein,,USA300_00447,494220,495002,USA300HOU_RS02360,494220,495002,USA300HOU_0469,494220,495002,hypothetical protein,,MW2_00417,472964,473746,MW_RS02240,472964,473746,MW0423,472964,473746,hypothetical protein,,A476_00414,471626,472408,SAS_RS02210,471626,472408,SAS0426,471626,472408,hypothetical protein,,MRSA252_00446,495564,496346,SAR_RS02325,495564,496346,SAR0468,495564,496346,hypothetical protein
